stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.8282658398,,-97.0484207288,https://winnipegtransit.com/stops/51060,51060,Eastbound Warde at Lagimodiere,0,51060
49.887539833,,-97.1188028452,https://winnipegtransit.com/stops/50644,50644,Southbound Aulneau at Despins,0,50644
49.8853313317,,-97.11851282,https://winnipegtransit.com/stops/50645,50645,Southbound Aulneau at Dollard,0,50645
49.8345017426,,-97.1622767769,https://winnipegtransit.com/stops/61206,61206,Northbound Southwest Transitway at Clarence Station,0,61206
49.8336845047,,-97.161793208,https://winnipegtransit.com/stops/61207,61207,Southbound Southwest Transitway at Clarence Station,0,61207
49.8430937948,,-97.1691977891,https://winnipegtransit.com/stops/61204,61204,Northbound Southwest Transitway at Seel Station,0,61204
49.8422493957,,-97.1687011391,https://winnipegtransit.com/stops/61205,61205,Southbound Southwest Transitway at Seel Station,0,61205
49.8487281283,,-97.165437599,https://winnipegtransit.com/stops/61202,61202,Northbound Southwest Transitway at Beaumont Station,0,61202
49.8485970723,,-97.166249398,https://winnipegtransit.com/stops/61203,61203,Southbound Southwest Transitway at Beaumont Station,0,61203
49.8166044225,,-97.1927325137,https://winnipegtransit.com/stops/61201,61201,Northbound Henlow at Scurfield,0,61201
49.8466649037,,-97.1880644923,https://winnipegtransit.com/stops/61101,61101,Eastbound Wilkes at Brockville East,0,61101
49.8305184739,,-97.1589791197,https://winnipegtransit.com/stops/61208,61208,Northbound Southwest Transitway at Chevrier Station,0,61208
49.8299838828,,-97.158735211,https://winnipegtransit.com/stops/61209,61209,Southbound Southwest Transitway at Chevrier Station,0,61209
49.8258201644,,-97.1695719251,https://winnipegtransit.com/stops/61197,61197,Westbound Chevrier at Hamelin,0,61197
49.8277383382,,-97.1977961349,https://winnipegtransit.com/stops/61192,61192,Northbound Lindenwood at Lindenwood,0,61192
49.7814558845,,-97.1832468526,https://winnipegtransit.com/stops/61190,61190,Northbound John Angus at Waverley,0,61190
49.9380469012,,-97.1574063754,https://winnipegtransit.com/stops/30447,30447,Eastbound Inkster at Wiginton,0,30447
49.8508297351,,-97.2071345499,https://winnipegtransit.com/stops/60352,60352,Northbound Kenaston at Taylor,0,60352
49.9347633249,,-97.147233063,https://winnipegtransit.com/stops/30444,30444,Eastbound Inkster at Sinclair,0,30444
49.8228814003,,-97.1782891647,https://winnipegtransit.com/stops/61198,61198,Westbound Chevrier at Gamble,0,61198
49.896015622,,-96.9842940429,https://winnipegtransit.com/stops/40024,40024,Westbound Victoria at Minikada,0,40024
49.9024733092,,-97.2184230234,https://winnipegtransit.com/stops/20523,20523,Westbound Wellington at Flight,0,20523
49.9208083764,,-97.133000385,https://winnipegtransit.com/stops/30115,30115,Westbound Mountain at Aikins,0,30115
49.8126290447,,-97.1991080814,https://winnipegtransit.com/stops/60829,60829,Northbound Columbia at Exbury,0,60829
49.8122659896,,-97.1988991493,https://winnipegtransit.com/stops/60828,60828,Southbound Columbia at Exbury,0,60828
49.8167545521,,-97.1931300729,https://winnipegtransit.com/stops/60825,60825,Eastbound Scurfield at Henlow West,0,60825
49.8167564071,,-97.1938250943,https://winnipegtransit.com/stops/60826,60826,Westbound Scurfield at Henlow,0,60826
